2025-07-24 20:44:19 | INFO     | __main__             | __init__        | Line:44   | Working directory: d:\Project\Todo_app\todo_app
2025-07-24 20:44:19 | DEBUG    | database.db_handler  | _ensure_db_directory | Line:40   | Database directory ensured: .
2025-07-24 20:44:19 | INFO     | database.db_handler  | __init__        | Line:34   | Database handler initialized with path: todo_app.db
2025-07-24 20:44:19 | INFO     | __main__             | __init__        | Line:58   | Application properties set
2025-07-24 20:44:19 | INFO     | __main__             | __init__        | Line:59   | PySide6 version: 1.0.0
2025-07-24 20:44:19 | INFO     | __main__             | __init__        | Line:62   | Python version: 3.13.5 (tags/v3.13.5:6cb20a2, Jun 11 2025, 16:15:46) [MSC v.1943 64 bit (AMD64)]
2025-07-24 20:44:19 | INFO     | __main__             | __init__        | Line:63   | Platform: win32
2025-07-24 20:44:19 | INFO     | __main__             | __init__        | Line:64   | Arguments: ['d:\\Project\\Todo_app\\todo_app\\main.py']
2025-07-24 20:44:19 | INFO     | performance          | log_performance | Line:150  | Application initialization took 73.56ms
2025-07-24 20:44:19 | INFO     | __main__             | run             | Line:82   | Starting application run sequence
2025-07-24 20:44:19 | INFO     | __main__             | run             | Line:86   | Initializing database...
2025-07-24 20:44:19 | INFO     | database.db_handler  | initialize_database | Line:45   | Starting database initialization
2025-07-24 20:44:19 | DEBUG    | database.db_handler  | initialize_database | Line:52   | Creating users table
2025-07-24 20:44:19 | DEBUG    | database.db_handler  | initialize_database | Line:66   | Creating tasks table
2025-07-24 20:44:19 | DEBUG    | database.db_handler  | initialize_database | Line:87   | Creating tags table
2025-07-24 20:44:19 | DEBUG    | database.db_handler  | initialize_database | Line:99   | Creating task_tags table
2025-07-24 20:44:19 | DEBUG    | database.db_handler  | initialize_database | Line:111  | Creating routines table
2025-07-24 20:44:19 | INFO     | performance          | log_performance | Line:150  | Database initialization took 1.78ms
2025-07-24 20:44:19 | INFO     | database.db_handler  | initialize_database | Line:136  | Database initialized successfully
2025-07-24 20:44:19 | INFO     | performance          | log_performance | Line:150  | Database initialization took 2.77ms
2025-07-24 20:44:19 | INFO     | __main__             | run             | Line:90   | Database initialized successfully
2025-07-24 20:44:19 | INFO     | __main__             | run             | Line:94   | Creating login window...
2025-07-24 20:44:19 | INFO     | core.user            | __init__        | Line:93   | UserManager initialized
2025-07-24 20:44:19 | INFO     | gui.login            | __init__        | Line:42   | Login window initializing
2025-07-24 20:44:19 | DEBUG    | gui.login            | setup_ui        | Line:61   | Setting up login window UI
2025-07-24 20:44:19 | DEBUG    | gui.login            | create_login_tab | Line:135  | Creating login tab
2025-07-24 20:44:19 | DEBUG    | gui.login            | create_login_tab | Line:172  | Login tab created successfully
2025-07-24 20:44:19 | DEBUG    | gui.login            | create_register_tab | Line:182  | Creating registration tab
2025-07-24 20:44:19 | DEBUG    | gui.login            | create_register_tab | Line:252  | Registration tab created successfully
2025-07-24 20:44:19 | DEBUG    | gui.login            | center_on_screen | Line:373  | Centering login window on screen
2025-07-24 20:44:19 | DEBUG    | gui.login            | setup_ui        | Line:125  | Login window UI setup completed
2025-07-24 20:44:19 | DEBUG    | gui.login            | setup_styles    | Line:258  | Setting up login window styles
2025-07-24 20:44:20 | DEBUG    | gui.login            | setup_styles    | Line:350  | Login window styles applied
2025-07-24 20:44:20 | DEBUG    | gui.login            | connect_signals | Line:355  | Connecting login window signals
2025-07-24 20:44:20 | DEBUG    | gui.login            | connect_signals | Line:369  | Login window signals connected
2025-07-24 20:44:20 | INFO     | performance          | log_performance | Line:150  | Login window initialization took 646.83ms
2025-07-24 20:44:20 | INFO     | gui.login            | __init__        | Line:52   | Login window initialized successfully
2025-07-24 20:44:20 | DEBUG    | gui.login            | showEvent       | Line:659  | Login window shown
2025-07-24 20:44:20 | INFO     | user_actions         | log_user_action | Line:123  | Anonymous | LOGIN_WINDOW_SHOWN | Login window displayed to user
